ids,train_1_test_0_ids,true_labels,predicted_labels_srnc,predicted_labels_rejection,predicted_labels_semi,known_1_unknown_0_classes
0,0,6,6,131,6,1
1,0,5,131,131,5,1
2,0,12,6,131,19,0
3,0,5,131,131,5,1
4,0,4,4,131,16,1
5,0,4,4,131,16,1
6,0,4,4,131,16,1
7,0,4,4,131,16,1
8,0,6,6,131,6,1
9,0,6,6,131,6,1
10,0,4,4,131,4,1
11,0,4,4,131,4,1
12,0,5,131,131,5,1
13,0,4,4,131,18,1
14,0,6,6,131,6,1
15,0,4,4,131,14,1
16,0,11,131,131,19,0
17,0,6,6,131,6,1
18,0,6,6,131,6,1
19,0,4,4,131,14,1
20,0,4,4,131,16,1
21,0,4,4,4,14,1
22,0,5,131,131,5,1
23,0,11,131,131,19,0
24,1,7,-1,-1,-1,-1
25,0,6,6,131,6,1
26,0,6,6,131,6,1
27,0,4,4,131,14,1
28,0,6,6,131,6,1
29,0,6,6,131,6,1
30,0,6,6,131,6,1
31,0,8,131,131,8,1
32,1,4,-1,-1,-1,-1
33,0,4,4,131,4,1
34,0,6,6,131,6,1
35,0,6,6,131,6,1
36,1,6,-1,-1,-1,-1
37,0,5,131,131,5,1
38,1,4,-1,-1,-1,-1
39,0,4,4,131,14,1
40,0,6,6,131,6,1
41,0,5,131,131,5,1
42,1,7,-1,-1,-1,-1
43,0,4,4,4,14,1
44,0,4,4,131,4,1
45,0,2,4,131,2,1
46,0,6,6,131,6,1
47,1,4,-1,-1,-1,-1
48,0,6,6,131,6,1
49,0,8,131,131,8,1
50,1,4,-1,-1,-1,-1
51,0,6,6,131,6,1
52,1,6,-1,-1,-1,-1
53,0,6,6,131,6,1
54,0,4,4,131,4,1
55,0,6,6,131,6,1
56,0,7,7,131,7,1
57,0,6,6,131,6,1
58,0,4,4,131,4,1
59,0,4,4,131,14,1
60,0,6,6,131,6,1
61,0,6,6,131,6,1
62,0,7,7,131,7,1
63,0,4,4,131,4,1
64,0,4,4,131,4,1
65,0,6,6,131,6,1
66,0,4,4,131,4,1
67,0,7,7,131,7,1
68,0,6,6,131,6,1
69,0,4,4,131,14,1
70,0,4,4,4,14,1
71,0,7,7,131,7,1
72,0,4,4,131,4,1
73,0,4,4,131,4,1
74,0,6,6,131,6,1
75,0,4,4,131,4,1
76,0,6,6,131,6,1
77,0,11,131,131,19,0
78,0,4,4,131,4,1
79,0,6,6,131,6,1
80,0,6,6,131,6,1
81,0,5,131,131,5,1
82,0,2,2,131,2,1
83,0,6,6,131,6,1
84,0,4,4,131,14,1
85,0,6,6,131,6,1
86,0,6,6,131,6,1
87,0,4,4,131,4,1
88,0,6,6,131,6,1
89,1,5,-1,-1,-1,-1
90,0,7,7,131,7,1
91,0,4,4,131,4,1
92,0,4,4,131,14,1
93,0,6,6,131,6,1
94,0,5,131,131,5,1
95,0,4,4,131,4,1
96,1,6,-1,-1,-1,-1
97,0,6,6,131,6,1
98,0,7,7,131,7,1
99,0,4,4,131,4,1
100,0,7,7,131,7,1
101,0,4,4,131,4,1
102,0,6,6,131,6,1
103,0,11,6,131,19,0
104,0,4,4,131,4,1
105,0,11,131,131,19,0
106,1,4,-1,-1,-1,-1
107,0,4,4,131,4,1
108,0,11,131,131,19,0
109,0,5,131,131,6,1
110,0,10,10,131,10,1
111,0,4,4,131,14,1
112,0,4,4,131,4,1
113,1,7,-1,-1,-1,-1
114,1,10,-1,-1,-1,-1
115,0,4,4,131,4,1
116,0,4,4,131,4,1
117,0,4,4,131,4,1
118,0,7,7,131,7,1
119,0,4,4,131,14,1
120,0,5,131,131,5,1
121,0,4,4,131,14,1
122,0,10,10,131,10,1
123,0,4,4,131,4,1
124,0,11,131,131,19,0
125,0,6,6,131,6,1
126,0,4,4,131,4,1
127,0,4,4,131,4,1
128,0,4,4,131,4,1
129,0,4,4,131,4,1
130,0,4,4,131,4,1
131,0,6,6,131,6,1
132,0,4,4,4,14,1
133,0,6,6,131,6,1
134,0,5,131,131,5,1
135,0,4,4,131,14,1
136,0,4,4,131,4,1
137,0,2,131,131,5,1
138,0,6,6,131,6,1
139,0,4,4,131,4,1
140,0,4,4,131,4,1
141,0,4,4,131,4,1
142,0,4,4,4,14,1
143,0,7,7,131,7,1
144,0,5,131,131,5,1
145,0,4,4,131,4,1
146,0,4,4,131,5,1
147,0,4,4,131,4,1
148,0,4,4,131,4,1
149,0,6,6,131,6,1
150,0,4,4,131,14,1
151,0,6,6,131,6,1
152,0,4,4,131,4,1
153,0,6,6,131,6,1
154,0,5,131,131,5,1
155,0,7,7,131,7,1
156,0,4,4,131,4,1
157,0,6,6,131,6,1
158,0,10,10,131,10,1
159,0,5,131,131,5,1
