ids,train_1_test_0_ids,true_labels,predicted_labels_srnc,predicted_labels_rejection,predicted_labels_semi,known_1_unknown_0_classes
0,0,1,1,101,1,1
1,0,1,1,101,1,1
2,0,1,1,101,1,1
3,0,1,1,101,1,1
4,0,1,1,101,1,1
5,0,1,1,101,1,1
6,0,1,1,101,1,1
7,1,1,-1,-1,-1,-1
8,1,1,-1,-1,-1,-1
9,0,1,1,101,1,1
10,0,1,1,101,1,1
11,0,1,1,101,1,1
12,0,1,1,101,1,1
13,0,1,1,101,1,1
14,0,1,1,101,1,1
15,0,1,1,101,1,1
16,0,1,1,101,1,1
17,0,1,1,101,1,1
18,0,1,1,101,1,1
19,0,1,1,101,1,1
20,0,1,1,101,1,1
21,0,2,101,101,2,1
22,0,2,101,101,2,1
23,0,2,101,101,2,1
24,0,2,101,101,2,1
25,0,2,101,101,2,1
26,0,2,101,101,2,1
27,1,2,-1,-1,-1,-1
28,0,2,101,101,2,1
29,0,2,101,101,2,1
30,1,2,-1,-1,-1,-1
31,0,2,101,101,2,1
32,0,2,101,101,2,1
33,0,2,101,101,2,1
34,0,2,101,101,2,1
35,0,2,101,101,2,1
36,0,2,101,101,2,1
37,0,2,101,101,2,1
38,0,9,9,101,9,1
39,0,9,9,101,9,1
40,0,9,9,101,9,1
41,0,9,9,101,9,1
42,0,9,9,101,9,1
43,0,9,9,101,9,1
44,1,9,-1,-1,-1,-1
45,0,9,9,101,9,1
46,0,9,9,101,9,1
47,0,9,9,101,9,1
48,0,9,9,101,9,1
49,0,3,3,101,3,1
50,0,3,3,101,3,1
51,0,3,3,101,3,1
52,0,3,3,101,3,1
53,0,3,3,101,3,1
54,0,3,3,101,3,1
55,0,3,3,101,3,1
56,0,3,3,101,3,1
57,0,3,3,101,3,1
58,0,3,3,101,3,1
59,0,3,3,101,3,1
60,0,3,3,101,3,1
61,0,3,3,101,3,1
62,0,3,3,101,3,1
63,0,3,3,101,3,1
64,0,3,3,101,3,1
65,1,3,-1,-1,-1,-1
66,0,3,3,101,3,1
67,0,3,3,101,3,1
68,0,3,3,101,3,1
69,0,3,3,101,3,1
70,0,3,3,101,3,1
71,0,3,3,101,3,1
72,0,3,3,101,3,1
73,1,3,-1,-1,-1,-1
74,0,3,3,101,3,1
75,0,3,3,101,3,1
76,0,3,3,101,3,1
77,0,3,3,101,3,1
78,0,3,3,101,3,1
79,0,3,3,101,3,1
80,1,3,-1,-1,-1,-1
81,0,3,3,101,3,1
82,0,3,3,101,3,1
83,0,3,3,101,3,1
84,0,3,3,101,3,1
85,0,3,3,101,3,1
86,1,9,-1,-1,-1,-1
87,0,9,9,101,9,1
88,0,9,9,101,9,1
89,0,9,9,101,9,1
90,0,9,9,101,9,1
91,0,9,9,101,9,1
92,0,9,9,101,9,1
93,0,9,9,101,9,1
94,0,9,9,101,9,1
95,0,9,9,101,9,1
96,0,9,9,101,9,1
97,0,9,9,101,9,1
98,0,9,9,101,9,1
99,0,9,9,101,9,1
100,0,9,9,101,9,1
101,0,9,9,101,9,1
102,0,9,9,101,9,1
103,0,9,9,101,9,1
104,0,9,9,101,9,1
105,0,9,9,101,9,1
106,0,9,9,101,9,1
107,0,9,9,101,9,1
108,0,9,9,101,9,1
109,0,9,9,101,9,1
110,0,9,9,101,9,1
111,0,9,9,101,9,1
112,1,9,-1,-1,-1,-1
113,1,9,-1,-1,-1,-1
114,0,9,9,101,9,1
115,0,9,9,101,9,1
116,0,9,9,101,9,1
117,0,8,8,101,14,1
118,1,8,-1,-1,-1,-1
119,0,8,8,101,8,1
120,0,8,8,101,8,1
121,1,8,-1,-1,-1,-1
122,0,8,8,101,14,1
123,0,8,8,101,8,1
124,0,8,8,101,8,1
125,1,8,-1,-1,-1,-1
126,0,8,8,101,14,1
127,0,8,8,101,8,1
128,0,8,8,101,8,1
129,0,8,8,101,8,1
130,0,8,8,101,8,1
131,0,8,8,101,8,1
132,0,8,8,101,14,1
133,0,8,8,101,8,1
134,0,8,8,101,8,1
135,0,8,8,101,8,1
136,0,8,8,101,8,1
137,1,8,-1,-1,-1,-1
138,0,8,8,101,8,1
139,0,8,8,101,8,1
140,0,8,8,101,8,1
141,0,8,8,101,8,1
142,0,8,8,101,8,1
143,0,8,8,101,8,1
144,0,8,8,101,14,1
145,0,8,8,101,8,1
146,1,8,-1,-1,-1,-1
147,0,8,8,101,8,1
148,0,8,8,101,14,1
149,0,8,8,101,8,1
150,0,8,8,101,8,1
151,0,8,8,101,8,1
152,0,8,8,101,8,1
153,0,8,8,101,8,1
154,0,8,8,101,8,1
155,0,8,8,101,8,1
156,0,8,8,101,8,1
157,0,8,8,101,8,1
158,1,8,-1,-1,-1,-1
159,0,8,8,101,8,1
160,0,8,8,101,8,1
161,0,8,8,101,8,1
162,0,8,8,101,14,1
163,0,8,8,101,14,1
164,0,8,8,101,14,1
165,0,8,8,101,14,1
166,0,8,8,101,14,1
167,0,8,8,101,14,1
168,0,8,8,101,14,1
169,0,8,8,101,14,1
170,0,8,8,101,14,1
171,0,7,7,101,13,1
172,0,7,7,101,13,1
173,0,7,7,101,7,1
174,0,7,7,101,13,1
175,1,7,-1,-1,-1,-1
176,0,7,7,101,13,1
177,0,7,7,101,13,1
178,0,7,7,101,7,1
179,0,7,7,101,7,1
180,0,7,7,101,13,1
181,0,7,7,101,13,1
182,0,7,7,101,13,1
183,0,7,7,101,13,1
184,0,7,7,101,7,1
185,0,7,7,101,13,1
186,0,7,7,101,13,1
187,0,7,7,101,13,1
188,0,7,7,101,13,1
189,1,7,-1,-1,-1,-1
190,0,7,7,101,13,1
191,0,7,7,101,13,1
192,0,7,7,101,13,1
193,0,7,7,101,13,1
194,0,7,7,101,13,1
195,0,10,10,101,10,1
196,0,10,10,101,10,1
197,0,10,10,101,10,1
198,0,10,10,101,10,1
199,0,10,10,101,10,1
200,0,10,10,101,10,1
201,0,10,10,101,10,1
202,0,10,10,101,10,1
203,1,10,-1,-1,-1,-1
204,1,10,-1,-1,-1,-1
205,1,10,-1,-1,-1,-1
206,1,10,-1,-1,-1,-1
207,0,10,10,101,10,1
208,1,10,-1,-1,-1,-1
209,0,10,10,101,10,1
210,0,10,10,101,10,1
211,0,10,10,101,10,1
212,1,10,-1,-1,-1,-1
213,0,10,10,101,10,1
214,0,10,10,101,10,1
215,0,10,10,101,10,1
216,0,10,10,101,10,1
217,0,10,10,101,10,1
218,0,10,10,101,10,1
219,0,10,10,101,10,1
220,0,10,10,101,10,1
221,0,10,10,101,10,1
222,0,10,10,101,10,1
223,0,10,10,101,10,1
224,0,10,10,101,10,1
225,0,10,10,101,10,1
226,0,10,10,101,10,1
227,0,10,10,101,10,1
228,1,10,-1,-1,-1,-1
229,0,10,10,101,10,1
230,0,10,10,101,10,1
231,1,10,-1,-1,-1,-1
232,0,10,10,101,10,1
233,0,10,10,101,10,1
234,0,10,10,101,10,1
235,0,6,101,101,1,0
236,0,6,101,101,2,0
237,0,6,101,101,2,0
238,0,6,101,101,13,0
239,0,6,101,101,1,0
240,0,6,101,101,2,0
241,0,6,101,101,1,0
242,0,6,101,101,11,0
243,0,6,101,101,2,0
244,0,6,101,101,2,0
245,0,6,101,101,13,0
246,0,6,101,101,2,0
247,0,6,101,101,2,0
248,0,6,101,101,7,0
249,0,6,101,101,13,0
250,0,6,101,101,1,0
251,0,5,101,101,2,0
252,0,6,101,101,2,0
253,0,5,101,101,1,0
254,0,5,101,101,14,0
255,0,5,101,101,14,0
256,0,5,101,101,14,0
257,0,5,101,101,1,0
258,0,5,101,101,2,0
259,0,11,101,101,7,0
260,0,11,7,101,13,0
261,0,11,7,101,7,0
262,0,11,101,101,7,0
263,0,11,7,101,7,0
264,0,11,7,101,13,0
265,0,11,7,101,7,0
266,0,11,101,101,7,0
267,0,11,7,101,13,0
268,0,11,7,101,7,0
269,0,11,7,101,13,0
270,0,11,7,101,7,0
271,0,11,101,101,7,0
272,0,11,101,101,7,0
273,0,11,7,101,7,0
274,0,4,101,101,1,0
275,0,4,101,101,2,0
276,0,4,101,101,14,0
277,0,4,101,101,12,0
278,0,4,101,101,1,0
279,0,4,101,101,1,0
280,0,4,101,101,2,0
281,0,4,101,101,2,0
282,0,4,101,101,2,0
283,0,4,101,101,1,0
284,0,4,101,101,14,0
285,0,4,101,101,2,0
286,0,4,101,101,2,0
287,0,4,101,101,14,0
288,0,4,101,101,2,0
289,0,4,101,101,1,0
290,0,4,101,101,1,0
291,0,4,101,101,2,0
292,0,4,101,101,2,0
293,0,4,101,101,2,0
294,0,4,101,101,2,0
295,0,4,101,101,14,0
296,0,4,101,101,1,0
297,0,4,101,101,7,0
298,0,4,101,101,2,0
299,0,4,101,101,1,0
